,movie_id,average_sentiment
179,19071,3.0
180,19074,2.0
181,19079,2.0
182,19109,2.0
183,19130,3.0
184,19195,4.0
185,19254,4.0
186,19286,2.0
187,19344,2.0
188,19376,2.0
189,19412,2.0
190,19415,2.0
191,19421,2.0
192,19422,2.0
193,19429,3.0
194,19465,1.0
195,19504,2.0
196,19509,2.0
197,19556,2.0
198,19585,2.0
199,19591,2.0
200,19607,2.0
201,19686,2.0
202,19688,2.0
203,19702,1.0
204,19729,2.0
205,19760,1.0
206,19777,2.0
207,19796,2.0
208,19832,2.0
209,19838,2.0
210,19901,2.0
211,19957,2.0
212,19993,2.0
213,19999,2.0
214,20030,3.0
215,20112,2.0
216,20122,2.0
217,20142,2.0
218,20161,2.0
219,20163,2.0
220,20264,0.0
221,20286,2.0
222,20471,2.0
223,20475,4.0
224,20487,2.0
225,20489,2.0
226,20514,1.0
227,20530,1.0
228,20531,2.0
229,20572,2.0
230,20581,2.0
231,20585,2.0
232,20629,4.0
233,20640,2.0
234,20641,2.0
235,20643,4.0
236,20678,2.0
237,20686,2.0
238,20691,3.0
239,20693,2.0
240,20697,3.0
241,20698,2.0
242,20708,3.0
243,20768,3.0
244,20827,2.0
245,20859,2.0
246,20902,2.0
247,20927,2.0
248,20960,2.0
249,20979,2.0
250,20980,2.0
251,20987,2.0
252,21013,2.0
253,21054,3.0
254,21079,3.0
255,21156,2.0
256,21165,2.0
257,21182,2.0
258,21197,2.0
259,21283,2.0
260,21331,2.0
261,21409,2.0
262,21508,1.0
263,21542,2.0
264,21571,2.0
265,21576,2.0
266,21577,2.0
267,21636,2.0
268,21646,4.0
269,21649,2.0
270,21684,2.0
271,21738,2.0
272,21739,2.0
273,21746,0.0
274,21749,2.0
275,21750,2.0
276,21755,3.0
277,21772,2.0
278,21785,2.0
279,21814,3.4
280,21815,3.0
281,21861,2.0
282,21884,2.6
283,21885,3.0
284,21890,2.0
285,22017,2.0
286,22047,2.0
287,22048,2.0
288,22058,2.0
289,22080,2.0
290,22100,2.6
291,22105,2.0
292,22117,2.0
293,22125,2.0
294,22149,2.0
295,22150,2.0
296,22158,3.0
297,22183,2.0
298,22204,2.0
299,22208,2.0
300,22251,3.0
301,22279,2.0
302,22286,2.0
303,22335,2.0
304,22339,2.0
305,22395,2.0
306,22397,2.0
307,22403,2.0
308,22404,2.0
